4.294E+01,4.841E+02,2.680E+03,9.554E+03,2.432E+04,4.677E+04,7.041E+04,8.491E+04,8.309E+04,6.643E+04,4.350E+04,2.338E+04,1.034E+04,3.775E+03,1.124E+03,2.605E+02,4.535E+01,6.811E+00,1.016E+00,4.699E-02,4.615E-03,1.304E-03,6.088E-03
3.890E+02,3.586E+03,1.584E+04,4.344E+04,8.036E+04,1.027E+05,8.867E+04,4.617E+04,8.673E+03,1.083E+03,1.691E+04,3.222E+04,3.298E+04,2.279E+04,1.153E+04,4.441E+03,1.313E+03,2.874E+02,4.518E+01,5.429E+00,4.690E-01,2.417E-02,7.760E-03
1.865E+03,1.392E+04,4.821E+04,9.850E+04,1.237E+05,8.870E+04,2.546E+04,1.417E+02,2.211E+04,4.049E+04,2.599E+04,3.808E+03,2.090E+03,1.437E+04,2.106E+04,1.682E+04,8.874E+03,3.312E+03,8.784E+02,1.630E+02,2.277E+01,2.533E+00,1.667E-01
6.300E+03,3.769E+04,1.000E+05,1.452E+05,1.092E+05,2.644E+04,2.299E+03,3.774E+04,4.392E+04,1.124E+04,1.664E+03,2.020E+04,2.256E+04,6.294E+03,3.267E+02,8.493E+03,1.435E+04,1.146E+04,5.674E+03,1.884E+03,4.208E+02,6.656E+01,8.074E+00
1.687E+04,7.991E+04,1.576E+05,1.507E+05,5.064E+04,4.918E+02,4.328E+04,4.985E+04,7.193E+03,7.715E+03,2.957E+04,1.541E+04,4.252E+00,1.158E+04,1.630E+04,4.679E+03,3.603E+02,6.960E+03,1.053E+04,7.401E+03,3.141E+03,8.490E+02,1.474E+02
3.819E+04,1.413E+05,1.987E+05,1.091E+05,4.677E+03,3.370E+04,6.431E+04,1.244E+04,9.058E+03,3.510E+04,1.240E+04,1.880E+03,1.972E+04,1.218E+04,4.708E+00,9.067E+03,1.116E+04,2.006E+03,1.161E+03,6.870E+03,7.728E+03,4.291E+03,1.387E+03
7.604E+04,2.167E+05,2.044E+05,4.730E+04,9.129E+03,7.295E+04,3.378E+04,3.058E+03,4.072E+04,1.743E+04,2.406E+03,2.378E+04,1.017E+04,1.448E+03,1.512E+04,7.239E+03,4.069E+02,8.364E+03,6.551E+03,1.905E+02,2.813E+03,6.517E+03,4.959E+03
1.369E+05,2.955E+05,1.704E+05,4.953E+03,5.146E+04,6.988E+04,2.013E+03,3.470E+04,3.412E+04,1.949E+02,2.655E+04,1.326E+04,1.898E+03,1.787E+04,5.507E+03,2.825E+03,1.192E+04,2.582E+03,2.002E+03,7.338E+03,2.483E+03,3.825E+02,4.457E+03
2.270E+05,3.649E+05,1.092E+05,7.499E+03,8.952E+04,3.234E+04,1.037E+04,5.244E+04,5.255E+03,2.156E+04,2.450E+04,3.359E+02,2.012E+04,7.203E+03,3.495E+03,1.376E+04,1.343E+03,5.316E+03,7.631E+03,8.759E+01,4.275E+03,4.650E+03,1.134E+02
3.520E+05,4.128E+05,4.522E+04,5.312E+04,9.180E+04,2.371E+03,4.242E+04,3.224E+04,4.555E+03,3.848E+04,2.684E+03,1.849E+04,1.440E+04,1.737E+03,1.597E+04,2.003E+03,6.496E+03,8.421E+03,6.777E+01,6.937E+03,2.691E+03,9.707E+02,4.811E+03
5.160E+05,4.307E+05,4.851E+03,1.179E+05,5.918E+04,8.392E+03,5.807E+04,4.774E+03,2.951E+04,2.260E+04,6.158E+03,2.720E+04,1.114E+02,1.733E+04,5.712E+03,5.045E+03,1.082E+04,1.206E+01,8.411E+03,2.404E+03,2.454E+03,5.181E+03,2.435E+01
7.208E+05,4.155E+05,7.652E+03,1.715E+05,1.826E+04,4.357E+04,4.206E+04,3.326E+03,4.227E+04,1.883E+03,2.754E+04,1.025E+04,1.091E+04,1.555E+04,1.313E+03,1.436E+04,5.418E+02,8.634E+03,4.057E+03,2.501E+03,6.089E+03,1.864E+01,4.744E+03
9.660E+05,3.694E+05,6.158E+04,1.919E+05,2.361E+00,7.904E+04,1.314E+04,2.583E+04,2.786E+04,5.420E+03,3.167E+04,1.005E+02,2.526E+04,1.420E+03,1.461E+04,5.100E+03,5.804E+03,8.127E+03,1.007E+03,8.071E+03,3.684E+01,5.529E+03,1.230E+03
1.248E+06,2.995E+05,1.625E+05,1.730E+05,2.147E+04,8.957E+04,2.495E+01,4.612E+04,6.000E+03,2.475E+04,1.458E+04,1.256E+04,1.787E+04,4.863E+03,1.635E+04,7.673E+02,1.289E+04,8.984E+01,9.116E+03,1.352E+03,5.243E+03,2.663E+03,2.189E+03
1.560E+06,2.160E+05,2.968E+05,1.242E+05,7.958E+04,6.977E+04,1.620E+04,4.473E+04,9.587E+02,3.417E+04,6.288E+02,2.725E+04,2.641E+03,1.983E+04,3.968E+03,1.188E+04,4.945E+03,5.894E+03,5.991E+03,2.375E+03,6.109E+03,7.583E+02,5.234E+03
1.889E+06,1.316E+05,4.447E+05,6.482E+04,1.556E+05,3.397E+04,5.285E+04,2.459E+04,1.635E+04,2.406E+04,5.143E+03,2.459E+04,2.123E+03,2.210E+04,1.014E+03,1.675E+04,2.787E+02,1.175E+04,2.359E+02,8.503E+03,2.376E+02,6.294E+03,4.723E+02
