state,t_e,w_e,we_xe,we_ye,we_ze,b_e,alph_e,gamm_e,delt_e,d_e,beta_e,h_e,lamd,gamm,rad
x3sg,0.0,1580.193,11.981,0.04747,-0.001273,1.4456,0.01593,0.0,0.0,4.839e-6,0.0,0.0,1.9847511,-0.00842536,1.20752e-8
b3su,49793.28,709.31,10.65,-0.139,0.0,0.81902,0.01206,-5.56e-4,0.0,4.55e-6,0.22e-6,0.0,1.5,-0.04,1.60426e-8
