state,t_e,w_e,we_xe,we_ye,we_ze,b_e,alph_e,gamm_e,delt_e,d_e,beta_e,h_e,lamd,gamm,rad,coupling
x2pg,0.0,1904.77,16.259,0.0,0.0,1.6913,0.01976,0.0,0.0,5.32e-6,0.0,0.0,0.0,0.0,1.1164e-8,179.14656
a2pu,40669.3,898.25,13.573,0.0,0.0,1.0617,0.01936,-1.73e-4,0.0,5.94e-6,0.0,0.0,0.0,0.0,1.40905e-8,-1.7080
