wavenumber intensity
-13.91095470373451 0.006653035302136123
-13.8129396754684 0.004259801415803066
-13.714924647202288 0.005057546044580752
-13.616909618936178 0.005057546044580752
-13.518894590670067 0.005057546044580752
-13.420879562403957 0.005057546044580752
-13.322864534137848 0.005057546044580752
-13.224849505871736 0.005057546044580752
-13.126834477605627 0.005057546044580752
-13.028819449339517 0.00904626918846918
-12.930804421073406 0.0058552906733584376
-12.832789392807296 0.005057546044580752
-12.734774364541186 0.005057546044580752
-12.636759336275075 0.005057546044580752
-12.538744308008965 0.0058552906733584376
-12.43256136072068 0.0026643121582476947
-12.342714251476744 0.0010688229006923233
-12.244699223210635 0.0026643121582476947
-12.146684194944523 0.005057546044580752
-12.048669166678414 0.005057546044580752
-11.950654138412304 0.009844013817246644
-11.852639110146193 0.012237247703579701
-11.754624081880083 0.01064175844602433
-11.656609053613973 0.009844013817246644
-11.558594025347862 0.009844013817246644
-11.460578997081752 0.01064175844602433
-11.362563968815643 0.012237247703579701
-11.264548940549531 0.013832736961135073
-11.166533912283422 0.01622597084746813
-11.068518884017312 0.02228883002617832
-10.9705038557512 0.029588193379494143
-10.898626168356053 0.04334928822590878
-10.800611140089943 0.07876914974363736
-10.807145475307683 0.06169741468779533
-10.839817151396387 0.05052898988490795
-10.733634204108101 0.11634292175906558
-10.741802123130277 0.10078690149790104
-10.700962528019398 0.13309555896339664
-10.741802123130277 0.08642749817990292
-10.668290851930694 0.2551504871663801
-10.67645877095287 0.2379989776476601
-10.67645877095287 0.22363957432966208
-10.67645877095287 0.20928017101166407
-10.67645877095287 0.19571851232244375
-10.692794608997222 0.18215685363322331
-10.692794608997222 0.1677974503152253
-10.692794608997222 0.15343804699722718
-10.635619175841992 0.31916949362578806
-10.643787094864166 0.29942531406354067
-10.643787094864166 0.28107718760165423
-10.643787094864166 0.2695098904843781
-10.67645877095287 0.11514630481589905
-10.611115418775462 0.3652392459376984
-10.627451256819814 0.34489675790386787
-10.643787094864166 0.33532382235853586
-10.571909407469018 0.5626810415601716
-10.578443742686758 0.5267825332651764
-10.578443742686758 0.5124231299471784
-10.578443742686758 0.4980637266291804
-10.578443742686758 0.4837043233111823
-10.578443742686758 0.4693449199931843
-10.570275823664584 0.4525922827888532
-10.59477958073111 0.44062611335718815
-10.59477958073111 0.42626671003919014
-10.59477958073111 0.41190730672119213
-10.59477958073111 0.397547903403194
-10.59477958073111 0.383188500085196
-10.53760414757588 0.5423385535263411
-10.496764552465002 0.5626810415601716
-10.496764552465002 0.5196028316061775
-10.496764552465002 0.5052434282881794
-10.496764552465002 0.49088402497018135
-10.48042871442065 0.4773223662809609
-10.48042871442065 0.4629629629629629
-10.48042871442065 0.4486035596449649
-10.473894379202909 0.368829096767198
-10.48042871442065 0.5459284043558406
-10.48042871442065 0.5339622349241755
-10.45864759702818 0.4294576885543008
-10.464092876376299 0.41190730672119213
-10.464092876376299 0.397547903403194
-10.48042871442065 0.387974967857862
-10.45864759702818 0.3433012686463125
-10.464092876376299 0.32575088681320385
-10.447757038331947 0.31139148349520573
-10.447757038331947 0.2970320801772077
-10.447757038331947 0.2826726768592097
