Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,41,e,2,Ground,40,e,2,49650.960786061,4.68413043899308E-7,52111.9695301283,2461.00874406732,13.6622771249795,18956205.6264655,0,rR3(40),Excited v=2 41 42 F3e - Ground v=0 40 41 F3e
LinearMolecule,Excited,37,e,1,Ground,38,e,1,49734.9025142638,3.76052227884047E-6,51745.7380897989,2010.83557553509,12.6619908322889,19541054.0927467,0,pP1(38),Excited v=2 37 36 F1e - Ground v=0 38 37 F1e
LinearMolecule,Excited,36,f,1,Ground,37,f,1,49735.3638088647,3.62002489706696E-6,51748.5028374667,2013.13902860199,12.3243243243243,19541576.5541343,0,pP2(37),Excited v=2 36 36 F2f - Ground v=0 37 37 F2f
LinearMolecule,Excited,35,e,2,Ground,36,e,2,49736.4055371717,3.5518866206904E-6,51747.8586283183,2011.45309114656,11.9949684906395,19556331.5617852,0,pP3(36),Excited v=2 35 36 F3e - Ground v=0 36 37 F3e
LinearMolecule,Excited,41,e,1,Ground,40,e,1,49752.3917954631,1.41829764353712E-6,51982.400974405,2230.00917894193,13.66235408335,19072726.3784325,0,rR1(40),Excited v=2 41 40 F1e - Ground v=0 40 39 F1e
LinearMolecule,Excited,40,f,1,Ground,39,f,1,49752.9510157204,1.36796132828786E-6,51985.2816566667,2232.33064094629,13.325,19061724.0145131,0,rR2(39),Excited v=2 40 40 F2f - Ground v=0 39 39 F2f
LinearMolecule,Excited,39,e,2,Ground,38,e,2,49754.0918220403,1.3448451310528E-6,51984.7533684785,2230.66154643826,12.9953867748159,19062153.8732904,0,rR3(38),Excited v=2 39 40 F3e - Ground v=0 38 39 F3e
LinearMolecule,Excited,35,e,1,Ground,36,e,1,49833.4246186047,9.66002688333791E-6,51636.2611658151,1802.83654721037,11.9950684040376,19671162.3730823,0,pP1(36),Excited v=2 35 34 F1e - Ground v=0 36 35 F1e
LinearMolecule,Excited,34,f,1,Ground,35,f,1,49833.845962176,9.2855470666128E-6,51638.9679566667,1805.12199449069,11.6571428571429,19671600.0884993,0,pP2(35),Excited v=2 34 34 F2f - Ground v=0 35 35 F2f
LinearMolecule,Excited,33,e,2,Ground,34,e,2,49834.8466532343,9.0973635135067E-6,51638.2657992993,1803.41914606497,11.3280042904127,19687991.9610328,0,pP3(34),Excited v=2 33 34 F3e - Ground v=0 34 35 F3e
LinearMolecule,Excited,39,e,1,Ground,38,e,1,49850.2963701197,3.8595636680635E-6,51861.1319456548,2010.83557553509,12.9954714154024,19173068.4800217,0,rR1(38),Excited v=2 39 38 F1e - Ground v=0 38 37 F1e
LinearMolecule,Excited,38,f,1,Ground,37,f,1,49850.8156288647,3.71800456446795E-6,51863.9546574667,2013.13902860199,12.6578947368421,19160683.7230621,0,rR2(37),Excited v=2 38 38 F2f - Ground v=0 37 37 F2f
LinearMolecule,Excited,37,e,2,Ground,36,e,2,49851.9153139879,3.65064189501843E-6,51863.3684051344,2011.45309114656,12.328471929896,19160947.264691,0,rR3(36),Excited v=2 37 38 F3e - Ground v=0 36 37 F3e
LinearMolecule,Excited,33,e,1,Ground,33,f,1,49924.427248434,2.0025086260481E-8,51532.7407052341,1608.31345680007,0.0097822244866052,17093.2851805677,0,pQ12(33),Excited v=2 33 32 F1e - Ground v=0 33 33 F2f
LinearMolecule,Excited,33,e,1,Ground,34,e,1,49926.6946846431,2.34432149447372E-5,51532.7407052341,1606.04602059099,11.3281159088973,19797245.5438577,0,pP1(34),Excited v=2 33 32 F1e - Ground v=0 34 33 F1e
LinearMolecule,Excited,32,f,1,Ground,33,f,1,49927.0760910666,2.2497303713286E-5,51535.3895478667,1608.31345680007,10.989898989899,19797583.5986678,0,pP2(33),Excited v=2 32 32 F2f - Ground v=0 33 33 F2f
LinearMolecule,Excited,31,e,2,Ground,32,e,2,49928.0358332647,2.20047761177261E-5,51534.6294524719,1606.59361920721,10.6610021539009,19815925.8270138,0,pP3(32),Excited v=2 31 32 F3e - Ground v=0 32 33 F3e
