Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,B2Pi,35.5,e,1,X2Pi,36.5,e,2,44602.9810278649,1.39866849278977E-8,46937.9719555588,2334.9909276939,0.54013225571801,626300.439322959,0,oP12e(36.5),B2Pi v=0 35.5 35 F1e - X2Pi v=0 36.5 37 F2e
LinearMolecule,B2Pi,37.5,e,2,X2Pi,38.5,e,2,44603.0146777848,9.42746939892089E-8,47191.3654805612,2588.35080277643,12.2712678269897,13480063.0963961,0,pP2e(38.5),B2Pi v=0 37.5 38 F2e - X2Pi v=0 38.5 39 F2e
LinearMolecule,B2Pi,45.5,f,1,X2Pi,44.5,f,1,44605.8275389592,4.95355958203954E-9,47844.3341213108,3238.50658235168,14.5741913626116,13228021.3009661,0,rR1f(44.5),B2Pi v=0 45.5 45 F1f - X2Pi v=0 44.5 44 F1f
LinearMolecule,B2Pi,45.5,e,1,X2Pi,44.5,e,1,44606.1041568147,4.95683880670897E-9,47844.3341213108,3238.22996449615,14.5645047310163,13219475.3257015,0,rR1e(44.5),B2Pi v=0 45.5 45 F1e - X2Pi v=0 44.5 44 F1e
LinearMolecule,B2Pi,43.5,f,2,X2Pi,42.5,f,2,44612.0446909748,7.72533605870362E-9,47747.9484223194,3135.90373134455,13.8956469260672,13190945.5233177,0,rR2f(42.5),B2Pi v=0 43.5 44 F2f - X2Pi v=0 42.5 43 F2f
LinearMolecule,B2Pi,43.5,e,2,X2Pi,42.5,e,2,44612.2604862951,7.72822843938338E-9,47747.9484223194,3135.68793602424,13.8864704067288,13182425.6747824,0,rR2e(42.5),B2Pi v=0 43.5 44 F2e - X2Pi v=0 42.5 43 F2e
LinearMolecule,B2Pi,38.5,f,1,X2Pi,39.5,f,1,44644.6819809394,1.21236608919733E-7,47186.4237158846,2541.74173494513,12.6196900230873,13545240.7468774,0,pP1f(39.5),B2Pi v=0 38.5 38 F1f - X2Pi v=0 39.5 39 F1f
LinearMolecule,B2Pi,38.5,e,1,X2Pi,39.5,e,1,44644.9579220592,1.21321747479509E-7,47186.4237158846,2541.46579382535,12.6118507350577,13537077.519347,0,pP1e(39.5),B2Pi v=0 38.5 38 F1e - X2Pi v=0 39.5 39 F1e
LinearMolecule,B2Pi,34.5,f,1,X2Pi,35.5,f,2,44646.1054339271,2.45682925643016E-8,46859.621239144,2213.51580521692,0.529842292491428,633756.994133935,0,oP12f(35.5),B2Pi v=0 34.5 34 F1f - X2Pi v=0 35.5 36 F2f
LinearMolecule,B2Pi,34.5,e,1,X2Pi,35.5,e,2,44646.2478118695,2.48936274339672E-8,46859.621239144,2213.37342727453,0.53649203729798,641717.051717939,0,oP12e(35.5),B2Pi v=0 34.5 34 F1e - X2Pi v=0 35.5 36 F2e
LinearMolecule,B2Pi,36.5,f,2,X2Pi,37.5,f,2,44646.2951570877,1.69745126848629E-7,47106.4391226013,2460.14396551359,11.9469441767268,13517763.2326873,0,pP2f(37.5),B2Pi v=0 36.5 37 F2f - X2Pi v=0 37.5 38 F2f
LinearMolecule,B2Pi,36.5,e,2,X2Pi,37.5,e,2,44646.4570785474,1.69773584973348E-7,47106.4391226013,2459.98204405384,11.9396715974401,13509681.4215771,0,pP2e(37.5),B2Pi v=0 36.5 37 F2e - X2Pi v=0 37.5 38 F2e
LinearMolecule,B2Pi,44.5,f,1,X2Pi,43.5,f,1,44651.2308096903,9.75174455593673E-9,47743.6435318414,3092.4127221511,14.2383196435592,13250735.2125211,0,rR1f(43.5),B2Pi v=0 44.5 44 F1f - X2Pi v=0 43.5 43 F1f
LinearMolecule,B2Pi,44.5,e,1,X2Pi,43.5,e,1,44651.5078352315,9.75824510097814E-9,47743.6435318414,3092.13569660989,14.2288939733878,13242209.7857142,0,rR1e(43.5),B2Pi v=0 44.5 44 F1e - X2Pi v=0 43.5 43 F1e
LinearMolecule,B2Pi,42.5,f,2,X2Pi,41.5,f,2,44655.6173950066,1.48912532336493E-8,47649.5872629375,2993.96986793092,13.5602159820586,13210519.3845128,0,rR2f(41.5),B2Pi v=0 42.5 43 F2f - X2Pi v=0 41.5 42 F2f
