wavenumbers,intensities
50385.414000,5.122E-23
50385.773000,3.371E-23
50387.070000,2.890E-30
50387.602000,6.476E-23
50387.676000,5.648E-23
50387.730000,4.168E-23
50388.074000,3.950E-23
50388.109000,5.020E-23
50388.969000,3.818E-23
50390.016000,9.861E-28
50390.605000,4.130E-26
50391.223000,3.940E-26
50391.840000,9.442E-28
50391.969000,3.832E-26
50393.906000,9.224E-28
50397.488000,7.063E-28
50398.895000,6.781E-28
50400.141000,6.639E-28
50400.430000,2.592E-23
50400.445000,3.785E-23
50400.871000,1.768E-23
50401.961000,6.000E-23
50402.008000,5.007E-23
50402.426000,4.255E-23
50408.641000,9.962E-29
50410.062000,1.752E-23
50410.965000,4.798E-23
50410.996000,3.645E-23
50411.438000,2.806E-23
50412.078000,9.565E-29
50413.320000,1.812E-26
50413.812000,1.737E-26
50413.820000,5.096E-26
50414.043000,4.882E-26
50414.590000,2.943E-23
50414.648000,1.562E-23
50414.656000,4.770E-26
50414.684000,1.699E-26
50415.145000,9.368E-29
50416.977000,7.080E-24
50418.020000,1.860E-27
50419.035000,1.784E-27
50419.258000,1.142E-24
50419.449000,1.061E-24
50419.906000,1.744E-27
50419.961000,1.006E-24
50420.008000,1.396E-24
50420.066000,1.279E-24
50420.457000,1.195E-24
50433.086000,1.104E-22
50433.199000,1.036E-22
50433.871000,9.904E-23
50434.555000,1.071E-29
50438.453000,1.029E-29
50441.816000,1.007E-29
50443.461000,7.173E-23
50443.742000,6.775E-23
50444.578000,6.526E-23
50447.219000,4.241E-24
50447.371000,4.034E-24
50447.992000,3.913E-24
50451.855000,2.146E-24
50452.215000,2.048E-24
50453.031000,1.993E-24
50457.367000,1.948E-24
50457.609000,1.497E-24
50457.695000,1.864E-24
50457.754000,1.378E-24
50458.188000,1.682E-24
50458.207000,1.519E-24
50458.215000,1.295E-24
50458.559000,1.819E-24
50458.570000,1.399E-24
50468.926000,4.268E-26
50469.734000,4.076E-26
50470.008000,7.683E-25
50470.605000,7.362E-25
50470.656000,3.969E-26
50471.734000,7.195E-25
50477.039000,8.375E-26
50477.578000,7.971E-26
50478.246000,7.737E-26
50484.500000,1.663E-22
50484.512000,2.980E-26
50484.570000,1.551E-22
50485.203000,1.475E-22
50485.605000,2.855E-26
50487.004000,2.791E-26
50490.258000,1.824E-24
50490.348000,1.660E-24
50490.684000,1.865E-24
50490.688000,1.650E-24
50490.773000,1.540E-24
50491.027000,1.488E-24
50491.754000,8.830E-27
50493.332000,8.460E-27
50493.938000,1.159E-22
50494.164000,1.090E-22
50494.945000,1.046E-22
50495.195000,8.268E-27
50510.547000,1.019E-28
50510.621000,3.269E-30
50512.809000,1.909E-27
50514.086000,1.832E-27
50514.531000,9.788E-29
50515.199000,1.793E-27
50515.312000,1.007E-27
50517.207000,2.053E-24
50517.262000,1.837E-24
50517.496000,1.606E-24
50517.516000,1.876E-24
50517.656000,1.676E-24
50517.656000,9.643E-28
50517.828000,1.400E-24
50517.867000,3.138E-30
50518.121000,9.591E-29
50520.219000,9.424E-28
50522.773000,8.160E-24
50522.891000,7.743E-24
50523.480000,7.492E-24
50524.031000,3.073E-30
50524.676000,5.224E-26
50524.902000,1.387E-25
50525.102000,1.328E-25
50525.129000,5.007E-26
50525.695000,1.297E-25
50525.969000,4.895E-26
50527.250000,4.392E-24
50527.551000,4.184E-24
50528.312000,4.064E-24
50528.512000,9.674E-25
50529.680000,3.350E-27
50530.324000,1.086E-27
50530.688000,2.342E-22
50530.723000,2.167E-22
50531.305000,3.209E-27
50531.316000,2.044E-22
50531.871000,4.748E-27
50532.535000,9.759E-25
50532.781000,4.548E-27
50533.176000,3.135E-27
50533.555000,4.443E-27
50538.465000,2.114E-24
50538.500000,1.844E-24
50538.652000,1.343E-24
50538.684000,1.669E-24
50538.871000,1.639E-24
50539.004000,1.099E-24
50539.062000,1.094E-29
50539.168000,1.756E-22
50539.340000,1.643E-22
50540.070000,1.567E-22
50543.555000,1.050E-29
50544.438000,1.249E-28
50545.906000,1.195E-28
50547.469000,1.165E-28
50547.496000,1.029E-29
50547.602000,3.006E-28
50550.223000,8.675E-26
50550.719000,2.886E-28
50550.930000,8.267E-26
50551.766000,8.035E-26
50552.527000,4.785E-24
50552.824000,4.575E-24
50553.473000,2.825E-28
50553.652000,4.460E-24
50554.055000,1.955E-24
50554.062000,1.632E-24
50554.164000,8.436E-25
50554.172000,1.232E-24
50554.438000,1.387E-24
50554.633000,5.753E-25
50557.531000,1.601E-25
50558.000000,1.520E-25
50558.594000,1.471E-25
50563.914000,5.698E-25
50563.965000,1.561E-24
50563.973000,1.186E-24
50564.395000,9.131E-25
50564.699000,2.002E-24
50565.242000,1.917E-24
50566.312000,1.873E-24
50568.168000,9.573E-25
50568.234000,5.081E-25
50569.539000,1.673E-24
50570.594000,2.302E-25
50571.391000,2.501E-27
50571.664000,2.811E-22
50571.668000,3.069E-22
50572.215000,2.625E-22
50573.516000,1.688E-24
50578.152000,9.069E-25
50579.156000,2.489E-22
50579.281000,2.313E-22
50579.965000,2.191E-22
50580.328000,8.959E-28
50581.457000,9.165E-25
50592.359000,3.608E-29
50592.844000,1.478E-23
50592.926000,1.398E-23
50593.477000,1.349E-23
